Price,City,Temperature (C),Weather Condition
$358,Miami,27.96,broken clouds
$328,Miami,27.96,broken clouds
$346,Miami,27.96,broken clouds
$438,Miami,27.96,broken clouds
$545,Miami,27.96,broken clouds
$396,Miami,27.96,broken clouds
$346,Miami,27.96,broken clouds
$396,Miami,27.96,broken clouds
$476,Miami,27.96,broken clouds
$582,Miami,27.96,broken clouds
$396,Miami,27.96,broken clouds
$424,Miami,27.96,broken clouds
$531,Miami,27.96,broken clouds
$504,Miami,27.96,broken clouds
$396,Miami,27.96,broken clouds
